Team,Name,Position,Height,Weight,Age,PTS,TRB,AST,FG%,FG3%,FT%
Atlanta Hawks,Bogdan Bogdanovic,Shooting Guard,6-6,220,29,14.2,3.4,3.4,43.9,38.4,82.2
Atlanta Hawks,Chaundee Brown,Small Forward,6-5,215,23,6.2,3.2,0.8,31.3,33.3,83.3
Atlanta Hawks,Clint Capela,Center,6-10,240,28,12.4,10.7,1.0,62.4,0.0,52.7
Atlanta Hawks,John Collins,Power Forward,6-9,235,24,16.5,8.3,1.6,55.9,37.6,77.9
Atlanta Hawks,Sharife Cooper,Point Guard,6-1,180,21,0.5,0.4,0.4,21.4,16.7,-
Atlanta Hawks,Gorgui Dieng,Center,6-10,252,32,7.5,5.7,1.3,50.0,36.7,79.1
Atlanta Hawks,Danilo Gallinari,Small Forward,6-10,233,33,15.6,4.8,1.9,42.8,38.2,87.7
Atlanta Hawks,Kevin Huerter,Shooting Guard,6-7,190,23,11.4,3.5,3.2,43.1,37.9,78.8
Atlanta Hawks,De'Andre Hunter,Small Forward,6-8,225,24,13.2,4.1,1.6,43.4,35.9,78.5
Atlanta Hawks,Jalen Johnson,Power Forward,6-9,220,20,2.4,1.2,0.1,53.7,23.1,71.4
Atlanta Hawks,Kevin Knox,Small Forward,6-7,215,22,7.7,2.9,0.8,36.9,34.0,70.5
Atlanta Hawks,Timothe Luwawu-Cabarrot,Small Forward,6-7,220,27,5.9,2.0,0.9,39.1,33.5,82.9
Atlanta Hawks,Skylar Mays,Shooting Guard,6-4,205,24,3.3,1.0,0.8,46.9,33.8,88.2
Atlanta Hawks,Onyeka Okongwu,Center,6-8,235,21,6.3,4.6,0.7,67.2,0.0,69.5
Atlanta Hawks,Lou Williams,Point Guard,6-1,175,35,13.9,2.2,3.4,41.9,35.1,84.2
Atlanta Hawks,Delon Wright,Point Guard,6-5,185,30,7.2,3.2,3.0,45.3,35.4,79.9
Atlanta Hawks,Trae Young,Point Guard,6-1,164,23,25.3,3.9,9.1,44.0,35.5,87.3
Boston Celtics,Jaylen Brown,Shooting Guard,6-6,223,25,16.5,4.9,2.0,47.3,37.3,71.2
Boston Celtics,Malik Fitts,Power Forward,6-8,230,24,1.3,1.1,0.3,40.9,50.0,-
Boston Celtics,Sam Hauser,Small Forward,6-8,215,24,2.5,1.1,0.4,46.0,43.2,-
Boston Celtics,Al Horford,Center,6-9,240,36,13.7,8.2,3.3,51.5,36.0,75.9
